country,provinceState,Confirmed,Recovered,Deaths,Active,date
Afghanistan,,54672,47365,2385,4922,2021-01-26 05:22:02
Albania,,72812,44291,1324,27197,2021-01-26 05:22:02
Algeria,,105854,72143,2866,30845,2021-01-26 05:22:02
Andorra,,9596,8724,97,775,2021-01-26 05:22:02
Angola,,19476,17327,461,1688,2021-01-26 05:22:02
Antigua and Barbuda,,201,170,6,25,2021-01-26 05:22:02
Argentina,,1874801,1666527,47034,161240,2021-01-26 05:22:02
Armenia,,166094,154932,3047,8115,2021-01-26 05:22:02
Australia,Australian Capital Territory,118,115,3,0,2021-01-26 05:22:02
Australia,New South Wales,5091,0,54,1795,2021-01-26 05:22:02
Australia,Northern Territory,98,90,0,8,2021-01-26 05:22:02
Australia,Queensland,1305,1278,6,21,2021-01-26 05:22:02
Australia,South Australia,596,592,4,0,2021-01-26 05:22:02
Australia,Tasmania,234,221,13,0,2021-01-26 05:22:02
Australia,Victoria,20443,19592,820,31,2021-01-26 05:22:02
Australia,Western Australia,895,873,9,13,2021-01-26 05:22:02
Austria,,405723,383200,7451,15072,2021-01-26 05:22:02
Azerbaijan,,229032,220565,3093,5374,2021-01-26 05:22:02
Bahamas,,8133,6720,175,1238,2021-01-26 05:22:02
Bahrain,,100230,96761,369,3100,2021-01-26 05:22:02
Bangladesh,,532401,476979,8041,47381,2021-01-26 05:22:02
Barbados,,1401,649,10,742,2021-01-26 05:22:02
Belarus,,238635,224171,1658,12806,2021-01-26 05:22:02
Belgium,Antwerp,86543,0,0,86543,2021-01-26 05:22:02
Belgium,Brussels,86841,0,0,86841,2021-01-26 05:22:02
Belgium,East Flanders,71710,0,0,71710,2021-01-26 05:22:02
Belgium,Flemish Brabant,52887,0,0,52887,2021-01-26 05:22:02
Belgium,Hainaut,107366,0,0,107366,2021-01-26 05:22:02
Belgium,Liege,100402,0,0,100402,2021-01-26 05:22:02
Belgium,Limburg,33198,0,0,33198,2021-01-26 05:22:02
Belgium,Luxembourg,19583,0,0,19583,2021-01-26 05:22:02
Belgium,Namur,37063,0,0,37063,2021-01-26 05:22:02
Belgium,Unknown,12263,0,20814,-8551,2021-01-26 05:22:02
Belgium,Walloon Brabant,26772,0,0,26772,2021-01-26 05:22:02
Belgium,West Flanders,60230,0,0,60230,2021-01-26 05:22:02
Belize,,11770,11131,293,346,2021-01-26 05:22:02
Benin,,3643,3317,48,278,2021-01-26 05:22:02
Bhutan,,856,734,1,121,2021-01-26 05:22:02
Bolivia,,202818,151469,10051,41298,2021-01-26 05:22:02
Bosnia and Herzegovina,,120143,92605,4593,22945,2021-01-26 05:22:02
Botswana,,20658,16794,124,3740,2021-01-26 05:22:02
Brazil,Acre,46539,39265,854,6420,2021-01-26 05:22:02
